"NKp44" "CD117" "CD127" "NKG2A" "CD16" "CRTH2" "CD45" "CD161" "CD56" "NCR2" "KIT" "IL7R" "KLRC1" "FCGR3A.B" "PTGDR2" "PTPRC" "KLRB1" "NCAM1" "All.Events.FSC.A.Mean" "All.Events.SSC.A.Mean"
"T75_P4_C11_ILC1" 28 -12 585 1 4 58 7267 163 -12 -3.32192809488736 -3.32192809488736 10.2072635646758 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.5453540005421 -3.32192809488736 -2.00440072204354 52993 8618
"T75_P3_C12_ILC2" -102 73 689 -104 17 626 8003 10467 9 -3.32192809488736 -3.32192809488736 9.116878179024 -3.32192809488736 1.59085660953035 -3.32192809488736 7.84104433727451 11.7451996110465 -0.854924628752979 54716 9549
"T75_P4_C12_ILC1" 14 -8 448 -33 -12 65 9332 82 -65 -3.32192809488736 -3.32192809488736 9.26960408222812 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.2577950226237 -3.32192809488736 -2.02243784024498 72420 12704
"T75_P1_C2_ILC3" 644 654 1115 -63 88 -19 4517 4533 279 2.63293336828993 7.59293860632859 10.911441771072 1.88873458542838 -3.32192809488736 -3.32192809488736 2.45040913412766 11.3389938859708 -3.32192809488736 61506 20602
"T75_P2_C2_ILC3" 564 638 600 -37 54 25 3113 1415 199 -3.32192809488736 7.66703688573246 10.9331387416516 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.261638018139 11.8483472993891 -3.32192809488736 64964 17168
"T75_P3_C2_ILC2" -16 35 929 -45 -17 774 6839 5429 19 -3.32192809488736 6.64421168595531 10.1041651050884 -3.32192809488736 -3.32192809488736 7.81502959263019 10.176167827149 11.689760864018 -3.32192809488736 63563 18578
"T75_P1_C3_ILC3" 1709 467 620 -52 54 -37 4997 4109 2 5.19510079960441 9.54527418411024 6.94131152413474 10.6939154865557 -3.32192809488736 -3.32192809488736 9.72421732643364 10.5989571500891 -3.32192809488736 69928 13789
"T75_P2_C3_ILC3" 386 115 377 15 72 87 3128 1945 348 9.09270026268286 -3.32192809488736 11.1915315278622 9.98500964642778 -3.32192809488736 -3.32192809488736 9.97426698428408 10.5747577675985 -1.67079763818449 56614 11033
"T75_P3_C3_ILC2" -103 268 1010 -112 -90 456 5646 8200 29 -3.32192809488736 -1.83766970287025 9.63648535814757 -3.32192809488736 -3.32192809488736 -1.19035003674261 8.22591586096887 11.2723870473801 -3.32192809488736 67980 12694
"T75_P4_C3_ILC1" -32 21 672 -35 -49 50 4374 3330 127 -3.32192809488736 7.56661578534046 9.72644727740423 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.31667958858448 12.3376389593384 -3.32192809488736 57038 10441
"T75_P1_C4_ILC3" 299 123 629 -9 -4 18 5037 1898 -53 -3.32192809488736 -3.32192809488736 10.5596482949236 0.757410120404003 -3.32192809488736 -3.32192809488736 10.9065783571229 10.3104553135693 -1.41374280943166 59956 10395
"T75_P2_C4_ILC3" 910 326 1472 -51 23 22 6722 4659 186 10.2870994283286 6.44676988468693 9.8674945937141 10.0692294850347 0.101393714781022 -3.32192809488736 8.93271534106319 10.4949135147625 -3.32192809488736 66840 12120
"T75_P3_C4_ILC2" -37 40 792 -27 -37 559 2567 1819 117 -3.32192809488736 -3.32192809488736 10.0815510917679 -3.32192809488736 -3.32192809488736 -3.32192809488736 0.445134824378579 9.2218336599611 -3.32192809488736 54056 7389
"T75_P4_C4_ILC1" -6 3 426 -39 -64 -69 9548 34 104 -3.32192809488736 -3.32192809488736 4.72236865320511 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.57160724707539 1.29582152132546 -0.779882255216312 72365 12267
"T75_P1_C5_ILC3" 967 268 474 -13 73 87 2648 1117 3364 9.72038611287645 7.24947167281757 10.4435095019249 1.74822414188368 -3.32192809488736 -3.32192809488736 0.826211779227142 3.4290106546356 6.73412947801237 63416 10692
"T75_P2_C5_ILC3" 1020 309 794 -26 5 124 2691 408 92 -3.32192809488736 6.58307715980601 9.92401502930463 0.681973310441767 -3.32192809488736 -3.32192809488736 10.056340380194 0.691807801708032 -3.32192809488736 63958 12408
"T75_P3_C5_ILC2" -7 243 526 -47 -1 460 4636 5061 -16 -3.32192809488736 -1.44690651393201 7.94921797683053 -3.32192809488736 -3.32192809488736 8.49635294282167 8.66492169686117 12.6687115469634 -1.86878315515454 66693 12734
"T75_P4_C5_ILC1" -22 17 539 -2 -74 -12 8164 462 105 -3.32192809488736 -3.32192809488736 8.69040757471255 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.27366413243539 9.10773505290556 -3.32192809488736 71752 15462
"T75_P1_C6_ILC3" 422 5 365 -29 -3 6 3964 2828 112 9.71074252705177 -3.32192809488736 8.11208542644552 9.85928254998124 -3.32192809488736 -3.32192809488736 9.84567876481113 1.89078471714247 -1.22265479750646 73179 17181
"T75_P2_C6_ILC3" 2197 67 366 -13 -70 -158 11423 1977 174 8.63389409734572 -1.56299357220083 9.24865412832212 -3.32192809488736 -3.32192809488736 -3.32192809488736 1.42941931185382 10.6827101285327 -1.96956193935605 65828 15805
"T75_P3_C6_ILC2" -15 167 507 -6 6 394 2892 4634 16 -3.32192809488736 -3.32192809488736 9.5365088011116 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.07194137123301 12.5377048675948 -1.82319582800967 56414 9766
"T75_P4_C6_ILC1" 4 -5 726 -26 -98 -163 10570 1108 287 -3.32192809488736 -1.57082573238293 9.57594267842085 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.872178299645 10.1424054684244 -1.97632234421979 62184 11862
"T75_P1_C7_ILC3" 895 158 654 27 -1 -59 9292 1837 301 -3.32192809488736 -3.32192809488736 11.0787641491666 10.9695776407136 -3.32192809488736 -3.32192809488736 11.9787199534312 13.1330957044734 -3.32192809488736 62537 14200
"T75_P3_C7_ILC2" 11 104 810 -31 -6 537 7610 6571 62 -3.32192809488736 7.77010169104835 10.6755089991621 2.27874050549268 -3.32192809488736 -0.0842395637092523 10.5762214301042 3.85415821539065 -3.32192809488736 63524 13492
"T75_P4_C7_ILC1" -50 23 706 -30 -69 -122 12119 1125 180 -3.32192809488736 -3.32192809488736 10.225849429327 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.42914354548892 5.08535793614915 -1.25570461283939 67823 14764
"T75_P1_C8_ILC3" 105 169 690 -29 -103 160 3264 991 504 0.342204542412374 -3.32192809488736 10.8563271016009 1.34245470576802 -3.32192809488736 -3.32192809488736 10.7251920851689 11.3777820953188 -3.32192809488736 53530 13285
"T75_P2_C8_ILC3" 209 317 372 -31 58 75 2155 1234 59 -3.32192809488736 -3.32192809488736 11.3228928703169 -3.32192809488736 -3.32192809488736 -3.32192809488736 1.70436733928406 9.68989304877931 -1.06348406778954 57967 9388
"T75_P3_C8_ILC2" -4 138 1027 -6 -76 421 4695 4962 69 -3.32192809488736 -3.32192809488736 9.34356325168086 -3.32192809488736 -3.32192809488736 -3.32192809488736 0.480082369987192 11.0904289534387 -0.231396005037944 59238 12184
"T75_P4_C8_ILC1" -59 54 715 -63 7 195 6362 6611 98 -3.32192809488736 7.81945619996712 5.50725263457773 -3.32192809488736 -3.32192809488736 6.94438680497141 2.69956768950517 11.6466347741464 -1.97290818530722 76845 16418
"T75_P2_C9_ILC3" 988 228 438 -18 -94 -66 6475 3494 291 -3.32192809488736 -3.32192809488736 9.18448224278272 9.05422259908947 -3.32192809488736 -3.32192809488736 8.46180600361346 4.64309532297202 -3.32192809488736 66921 14385
"T75_P3_C9_ILC2" -19 98 434 -20 -40 1001 2843 5130 -29 -3.32192809488736 -3.32192809488736 8.21469306408814 -3.32192809488736 -3.32192809488736 8.85281729034878 9.27712531428661 11.4989337183532 -3.32192809488736 59946 10588
"T75_P4_C9_ILC1" 15 -4 601 -59 -63 -84 9259 575 51 -3.32192809488736 -3.32192809488736 6.39296273915297 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.50036337975351 2.19328608346683 -3.32192809488736 76891 15431
"T75_P1_D1_ILC3" -8 495 420 -3 -51 21 2954 139 263 -3.32192809488736 8.00482786725865 8.9900968496199 1.77690976144031 -3.32192809488736 -3.32192809488736 10.3219456672455 9.83063811988909 -0.944832436167464 53352 9251
"T75_P2_D1_ILC3" 830 205 668 -35 -189 -47 3383 3080 2128 -3.32192809488736 9.58727082834109 10.4040414615293 -3.32192809488736 -3.32192809488736 -3.32192809488736 4.51427955162899 12.2444672870578 -3.32192809488736 66035 14699
"T75_P1_D10_ILC3" 1954 476 655 -30 -63 -44 6632 219 93 -3.32192809488736 -3.32192809488736 10.2655680175513 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.2339150276106 -3.32192809488736 -3.32192809488736 68099 13128
"T75_P2_D10_ILC3" -3 396 367 -30 38 -3 4216 1739 35 -3.32192809488736 5.85743931282948 9.42920132319129 -3.32192809488736 -3.32192809488736 -3.32192809488736 -0.403710489202103 10.5526048218188 -3.32192809488736 56409 13128
"T75_P3_D10_ILC2" 4 276 1057 -28 -30 1915 6959 11886 52 -3.32192809488736 7.85865884059374 10.5505983158738 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.9612000245728 11.1100671076259 -3.32192809488736 68870 13731
"T75_P4_D10_ILC1" -9 3 954 -20 -83 -61 9103 1255 75 -3.32192809488736 -3.32192809488736 8.9077525239135 -3.32192809488736 -3.32192809488736 -3.32192809488736 4.47670967162802 10.8701949059402 -3.32192809488736 68518 14365
"T75_P1_D11_NK" 806 625 91 894 -103 -24 4804 1546 8345 -3.32192809488736 -3.32192809488736 11.0730467567841 3.43741559997803 -3.32192809488736 -3.32192809488736 6.41830622985105 2.76280308321122 -3.32192809488736 54824 13943
"T75_P2_D11_NK" -25 28 57 411 -197 205 2585 1216 5076 -3.32192809488736 -3.32192809488736 9.90602563087271 10.646886889322 -3.32192809488736 -3.32192809488736 9.75781147801929 9.77117451593236 0.777702221934611 64159 16698
"T75_P3_D11_NK" 10 40 53 717 -63 130 2598 424 7559 -3.32192809488736 -3.32192809488736 9.11734320923667 10.3222464321722 -3.32192809488736 -3.32192809488736 9.62346820489345 1.34089613256944 -0.387412723357485 69870 14531
"T75_P4_D11_NK" -18 -10 67 357 -108 41 4198 1625 8769 -3.32192809488736 -3.32192809488736 8.26459611908541 10.5431827885355 -3.32192809488736 -3.32192809488736 9.5192937878436 -3.32192809488736 6.32446605965544 69521 15842
"T75_P1_D12_ILC3" 98 220 643 -42 -2 50 5036 2307 161 -3.32192809488736 -3.32192809488736 9.79667417292273 -3.32192809488736 -3.32192809488736 -3.32192809488736 5.9333518412378 -3.32192809488736 -3.32192809488736 62612 14424
"T75_P2_D12_ILC3" 24 730 617 -12 54 -64 4176 1869 277 1.28928736593743 10.2137436171927 1.60876293157278 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.62179585961603 1.93716437954385 -3.32192809488736 58041 9262
"T75_P3_D12_ILC2" -44 25 750 -39 44 1174 4890 4780 -9 -3.32192809488736 -3.32192809488736 9.63668482917703 -3.32192809488736 -3.32192809488736 -3.32192809488736 -0.0793545215624177 12.519422057435 -3.32192809488736 58676 9036
"T75_P4_D12_ILC1" -18 -13 552 -10 -40 -14 5554 243 52 -3.32192809488736 -1.72642917012718 -0.160901005006241 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.7907843129578 -3.32192809488736 -1.7534863265476 77057 14449
