"NKp44" "CD117" "CD127" "NKG2A" "CD16" "CRTH2" "CD45" "CD161" "CD56" "NCR2" "KIT" "IL7R" "KLRC1" "FCGR3A.B" "PTGDR2" "PTPRC" "KLRB1" "NCAM1" "All.Events.FSC.A.Mean" "All.Events.SSC.A.Mean"
"T75_P3_G3_ILC2" -75 100 591 -36 46 823 3894 5714 -67 -3.32192809488736 -3.32192809488736 8.96287162206137 -3.32192809488736 -3.32192809488736 8.01432362910028 9.50046300591896 11.0061783465077 -3.32192809488736 60445 9092
"T75_P4_G3_ILC1" -8 -11 568 -4 -49 44 8410 356 68 -3.32192809488736 -3.32192809488736 10.2476698880719 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.93049989633594 -3.32192809488736 -1.85924026730785 70867 14032
"T75_P1_G5_ILC3" -38 381 389 -17 -84 70 3052 1299 443 -3.32192809488736 -3.32192809488736 8.46649308669176 1.21797798851554 -3.32192809488736 -3.32192809488736 12.2293148028679 10.4777533946791 -1.19984154997891 61443 9726
"T75_P2_G5_ILC3" 986 344 407 -45 99 103 2641 2366 3473 7.85843771403665 9.26392980784424 10.2463507462476 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.25182722838936 9.81931577478592 -3.32192809488736 68667 13576
"T75_P3_G5_ILC2" -14 39 802 -54 -7 719 4667 6008 20 -3.32192809488736 -3.32192809488736 8.59022970975249 -3.32192809488736 -3.32192809488736 7.82781778021611 10.7354610575045 10.1621598313641 -1.74700740202085 54171 7448
"T75_P4_G5_ILC1" -4 -8 396 9 -27 -74 10875 7 27 -3.32192809488736 -3.32192809488736 9.8687738949027 -0.0950278031682762 -3.32192809488736 -3.32192809488736 10.5004614564849 0.298629059007615 -3.32192809488736 66895 15758
"T75_P1_G6_ILC3" 1195 127 565 -22 2 -37 5676 4394 5887 7.17399911942654 7.86707507091859 9.06289274703643 0.399954852904468 -3.32192809488736 -3.32192809488736 8.30103969756628 11.7702684356506 5.77216024072267 69888 17479
"T75_P2_G6_ILC3" 1089 137 600 -5 -120 -105 5655 2049 167 6.53057680072319 2.93865153737217 9.55549427719115 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.8718443346962 10.0246503275451 -1.23491496097762 62564 14620
"T75_P3_G6_ILC2" -93 270 443 -53 1 883 4731 13407 33 -3.32192809488736 -3.32192809488736 10.5260656292054 -3.32192809488736 -3.32192809488736 7.37438212622826 10.0872418300286 11.2640204681118 -1.38784363338837 66090 10896
"T75_P4_G6_ILC1" -12 22 521 -11 -21 -31 8165 2221 -67 -3.32192809488736 -3.32192809488736 11.3661742580806 2.34523257993458 -3.32192809488736 -3.32192809488736 9.78501040876027 10.4558213533011 -3.32192809488736 66176 13731
"T75_P1_G7_ILC3" 1543 87 527 19 6 3 6634 1600 205 -3.32192809488736 -0.0906755151656698 11.5802342093107 10.2087405158507 -3.32192809488736 -3.32192809488736 0.704204963790624 1.06442985208823 -3.32192809488736 64977 24318
"T75_P2_G7_ILC3" 33 545 536 -26 116 73 4846 2128 133 -3.32192809488736 -1.06312407915254 9.57453731718258 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.2436886854845 10.9859713229056 -1.52855160963071 62392 11357
"T75_P3_G7_ILC2" 11 103 427 -55 -69 521 4912 5411 249 -3.32192809488736 -3.32192809488736 9.12644304566956 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.98656618368596 9.29344323229411 -3.32192809488736 57161 11812
"T75_P4_G7_ILC1" -14 -18 430 -12 -13 101 6218 339 -32 -3.32192809488736 -3.32192809488736 9.98810237444232 0.372607543946717 -3.32192809488736 -3.32192809488736 10.0210513134274 0.777625230567781 -3.32192809488736 69358 12513
"T75_P1_G8_ILC3" 1405 120 534 -12 99 111 7512 2251 75 -3.32192809488736 5.40800823968313 10.2820765152223 -3.32192809488736 -3.32192809488736 -3.32192809488736 6.46831303233489 2.64930537903243 -1.39208406026257 62912 13908
"T75_P2_G8_ILC3" 956 154 403 -48 -45 28 3541 2214 43 -3.32192809488736 5.07323877043188 11.3852773041083 9.32950616504075 -3.32192809488736 -3.32192809488736 8.043267185014 1.40923966626672 -3.32192809488736 58632 10444
"T75_P3_G8_ILC2" -47 20 498 -35 -69 620 2991 3824 134 -3.32192809488736 -1.20185558916355 10.0656551961096 -3.32192809488736 -3.32192809488736 6.78932357938304 7.49342244369904 1.877595280411 -3.32192809488736 58162 7386
"T75_P4_G8_ILC1" -21 -2 1941 -39 -27 -45 4779 293 12 -3.32192809488736 -3.32192809488736 2.36344986651497 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.01155618770976 -3.32192809488736 -1.35702063149693 48696 12506
"T75_P2_G9_NK" 57 119 159 879 97 -27 4282 1207 10202 -3.32192809488736 0.326946184690035 9.125744961227 3.71789577911296 4.42964939124603 -3.32192809488736 9.03652615439394 3.05635448369689 7.61334769098614 67901 18222
"T75_P3_G9_NK" -12 -34 33 769 -252 -78 5008 852 4199 -3.32192809488736 -3.32192809488736 -3.32192809488736 6.92944012835171 -3.32192809488736 -3.32192809488736 8.90334728652938 -3.32192809488736 6.46087167603083 66642 15912
"T75_P4_G9_NK" -10 5 23 660 -86 40 3164 460 3329 -3.32192809488736 -3.32192809488736 7.8881481731072 10.4627742435322 -3.32192809488736 -3.32192809488736 9.88959661843695 7.71510831420428 -3.32192809488736 63504 12495
"T75_P3_H10_ILC2" -96 14 1425 -92 -70 673 6616 5772 202 -3.32192809488736 -3.32192809488736 11.8341215355754 -3.32192809488736 -3.32192809488736 -3.32192809488736 3.19890429432617 4.68764930143113 -3.32192809488736 59746 11456
"T75_P1_H11_ILC3" 182 482 620 -24 -5 -107 6596 2605 182 1.76982987091224 -3.32192809488736 9.7217293389801 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.0951273649186 11.2267138767904 -0.649209989182867 65790 21601
"T75_P2_H11_ILC3" 1285 27 704 15 69 43 8504 1134 46 7.28499616508012 -3.32192809488736 9.93117895103095 -3.32192809488736 -3.32192809488736 -3.32192809488736 2.33500197433112 2.01535095935241 -1.43751193951057 66816 23330
"T75_P3_H11_ILC2" -72 15 461 -46 15 753 3219 7240 85 -3.32192809488736 -3.32192809488736 9.99317983982151 -3.32192809488736 -3.32192809488736 8.61643298109568 -0.00453283976983549 6.84643272203944 -3.32192809488736 59718 10059
"T75_P2_H12_ILC3" 75 684 608 0 3 38 4499 1704 145 -3.32192809488736 8.44275582334397 9.53978269126088 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.4769373595854 0.742707607678656 -3.32192809488736 79147 17311
"T75_P4_H12_ILC1" 9 7 539 -16 15 -36 7521 472 27 -3.32192809488736 -3.32192809488736 10.8896969745786 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.74195386931284 -3.32192809488736 -1.97393553166855 66528 10534
"T75_P1_H2_ILC3" -30 645 561 -53 66 29 1767 5934 157 -3.32192809488736 -3.32192809488736 10.4268459639148 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.77999884316961 10.5119576075076 -3.32192809488736 70412 16101
"T75_P2_H2_ILC3" 757 -48 376 -35 0 -52 5887 2613 192 -3.32192809488736 -0.450781157296601 9.13435414426918 2.68279639236397 -3.32192809488736 -3.32192809488736 9.52470594349797 11.081195504328 -0.48578867584529 57709 10657
"T75_P3_H2_ILC2" -43 200 577 -54 -14 478 7438 5355 86 -3.32192809488736 -3.32192809488736 9.38250325972375 -3.32192809488736 -3.32192809488736 4.11579774516998 3.54745748728997 10.2365483979276 -3.32192809488736 64044 10983
"T75_P1_H3_ILC3" 563 450 566 -38 -101 60 8882 2708 136 9.3036399368673 0.555714539900066 10.5165269251234 1.85637186894899 -3.32192809488736 -3.32192809488736 10.5903335083486 10.5444598599879 -3.32192809488736 58572 18691
"T75_P2_H3_ILC3" -23 450 497 -15 -15 32 2026 2168 169 1.22115692918528 2.14228734155521 9.53969369742618 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.82306480952598 12.0110775087819 -3.32192809488736 56691 11291
"T75_P3_H3_ILC2" -38 2 421 -62 -73 574 6634 8445 93 -3.32192809488736 -3.32192809488736 10.2687665831034 -3.32192809488736 -3.32192809488736 8.37968377864836 8.70644717093696 11.3943739355662 -3.32192809488736 61042 11236
"T75_P4_H3_ILC1" 70 10 554 -20 -42 -26 4261 2852 398 -3.32192809488736 0.401707143133246 1.41471221200297 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.38665413121387 1.96139502437924 -3.32192809488736 54643 8837
"T75_P1_H4_ILC3" 68 33 662 -56 -58 -58 5215 2257 59 1.16031904993426 -0.479820714316841 9.33112073903846 9.95107094261109 -3.32192809488736 -3.32192809488736 10.1759014238179 10.6670457171951 -3.32192809488736 53664 7834
"T75_P2_H4_ILC3" 1411 138 716 -41 150 30 5199 3207 80 9.3086084941601 -1.39849045845034 10.3832451985365 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.4379913161457 10.3660340938469 -1.11374664331215 65437 13759
"T75_P3_H4_ILC2" -103 49 366 -85 -33 574 5608 10665 25 -3.32192809488736 -3.32192809488736 9.84260210346168 -3.32192809488736 -3.32192809488736 -3.32192809488736 4.31921434473778 12.0840375363006 -3.32192809488736 55698 7960
"T75_P1_H5_ILC3" 1250 107 710 -37 -25 12 7626 3905 297 10.1186891582266 -3.32192809488736 9.54535719903933 9.69482418994623 -3.32192809488736 -3.32192809488736 9.89223503406217 9.27824325069572 -2.14917654505665 59089 23884
"T75_P3_H5_ILC2" -129 240 793 -73 -72 911 4077 20928 226 -3.32192809488736 4.67670402685042 10.0674325069796 -0.59493918017246 -3.32192809488736 8.77043087398479 8.79117136054672 11.4268271614613 -3.32192809488736 73771 14112
"T75_P4_H5_ILC1" -32 -6 695 -30 -54 42 8331 159 56 -3.32192809488736 -3.32192809488736 10.5923094976736 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.8905673257281 10.6001237300478 -3.32192809488736 59364 9288
"T75_P1_H8_ILC3" -60 143 1046 -72 -61 289 6350 4499 26 -3.32192809488736 -3.32192809488736 10.0203806685397 -3.32192809488736 -3.32192809488736 -3.32192809488736 0.407783973867354 -3.32192809488736 -3.32192809488736 52826 9552
"T75_P3_H8_ILC2" -37 -2 545 19 -11 421 2782 3749 97 -3.32192809488736 -3.32192809488736 8.68714103062126 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.89699351500399 10.7833568718694 -3.32192809488736 64719 10415
"T75_P4_H8_ILC1" -21 -13 962 -37 -34 -110 11856 1189 121 -3.32192809488736 -1.15083234838895 10.7376846699602 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.2890263896977 10.4153428393076 -3.32192809488736 58647 9576
"T75_P2_H9_ILC3" 391 419 752 5 69 17 3189 646 439 -3.32192809488736 -3.32192809488736 10.8725767430157 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.2381665630199 10.7170184446459 -3.32192809488736 69789 14013
"T75_P3_H9_ILC2" -8 -7 598 -96 -28 560 3684 11849 74 -3.32192809488736 -3.32192809488736 9.53713022386673 -3.32192809488736 -3.32192809488736 0.113383873724137 7.56554456322462 11.5648011742031 -3.32192809488736 63232 10413
"T75_P4_H9_ILC1" 25 -17 458 -25 -45 -125 9126 329 1160 -3.32192809488736 -3.32192809488736 9.93796588507259 6.54164574947107 -3.32192809488736 -3.32192809488736 10.6553492310525 -3.32192809488736 -3.32192809488736 78066 12697
"T74_P1_A9_ILC1" -19 -1 324 15 -48 72 3297 147 112 -3.32192809488736 -3.32192809488736 7.00687396446279 3.86679565966552 -3.32192809488736 -3.32192809488736 9.49937178679405 3.85628317099022 -3.32192809488736 57669 7462
"T74_P1_B4_NK" 72 21 -25 786 185 143 1485 619 2651 -3.32192809488736 -2.36977710117002 1.15031121063037 11.0438292332525 -3.32192809488736 -3.32192809488736 9.52181646178741 10.5561012058661 8.38483121297378 68759 16494
"T74_P1_B7_ILC2" -6 193 626 21 -68 561 3314 1432 58 -3.32192809488736 -1.88941132566354 4.29659879540089 -3.32192809488736 -3.32192809488736 -3.32192809488736 1.68988422796516 7.60851237050357 -1.21625809660042 65368 17742
"T74_P1_B9_NK" -17 46 92 411 209 -68 2086 486 4384 -3.32192809488736 -1.55089909341821 0.482775097829931 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.22237917001859 1.82914446414467 -1.27099741637941 61285 14157
"T74_P1_D10_ILC2" 7 134 541 -7 -8 309 5403 1391 66 -3.32192809488736 -1.35927145455576 9.12436202871645 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.31734198498398 10.757967526218 -0.262661528621712 63293 13536
"T74_P1_E1_ILC3" 1226 60 331 31 -20 85 5088 37 93 9.25334602346268 4.86246945871874 9.83752763173601 3.74990740092011 -3.32192809488736 -3.32192809488736 10.0506679411263 10.2529701352455 -3.32192809488736 71538 19182
"T74_P1_E2_ILC3" 863 446 947 77 68 78 3005 1465 4 -3.32192809488736 6.06795721468796 9.79756184334175 7.81732565767819 4.61638754866448 -3.32192809488736 10.5591172698501 11.6627566817759 4.10141000020332 68327 16271
"T74_P1_E3_ILC3" 1398 357 916 26 -116 0 4460 1927 189 2.40366212942692 7.94052843711474 10.6296916856716 1.90475175475739 -3.32192809488736 -3.32192809488736 9.64717544027461 9.09102382891298 -3.32192809488736 66995 17654
"T74_P1_E4_ILC3" 24 410 417 17 38 47 2403 1 229 -3.32192809488736 -1.20921351076251 9.75021312207487 1.22276193343768 -3.32192809488736 -3.32192809488736 11.263729620544 0.756214731207383 -1.65926250812108 49879 10125
"T74_P1_E5_ILC3" 938 768 525 32 115 50 3599 812 1139 9.63757860544053 -0.9119117049087 7.43323353885633 10.857334302508 -3.32192809488736 -3.32192809488736 9.55716335757959 2.23512183084088 -3.32192809488736 64401 24824
"T74_P1_E6_NK" 27 23 10 543 237 -64 3149 537 6373 -3.32192809488736 -1.78058461024029 -1.36798783733271 0.933361406397746 8.78930082326917 -3.32192809488736 10.7178984327666 11.0036063239848 -0.776789175777932 74664 21905
"T74_P1_E7_NK" -24 32 62 286 -26 46 2850 521 7085 -3.32192809488736 0.438210336177105 1.55177846111251 9.5377390540695 -3.32192809488736 -3.32192809488736 8.25310945925887 3.59371182971309 -3.32192809488736 66698 21623
"T74_P1_F1_ILC3" 70 1700 570 12 32 51 2764 1402 546 -3.32192809488736 7.40652938207005 9.4439172754054 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.45595059601168 12.4684731997668 -3.32192809488736 70262 21246
"T74_P1_F2_ILC3" 1829 638 929 1 123 59 4834 1916 203 8.353568491823 6.23658871201467 9.26965954124007 9.28448004635345 -3.32192809488736 -3.32192809488736 9.14536165366846 12.0492312663321 -1.65776352770523 63767 22211
"T74_P1_F3_ILC3" 1313 110 414 6 0 35 4112 939 1908 -3.32192809488736 -1.1648585818574 8.89319678440049 8.33828354709034 -3.32192809488736 -3.32192809488736 10.0166898615849 2.45242162440102 2.35691331435005 75610 22030
"T74_P1_F4_ILC3" 1202 444 690 3 82 66 2567 1515 139 -1.0933952257981 8.57724443941893 10.1465879559234 9.90339101709891 -3.32192809488736 -3.32192809488736 10.5101677637985 10.6716373465071 -3.32192809488736 69706 26888
"T74_P1_F5_ILC3" 745 338 675 4 -36 43 2370 884 224 8.9517101438668 7.1244603767897 10.8233549425552 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.1971688580425 3.03327069111878 -1.32035710048944 61475 16850
"T74_P1_G1_ILC3" 20 75 481 -8 -76 143 3587 4106 180 -3.32192809488736 -3.32192809488736 9.50741365385429 0.602133769697264 -3.32192809488736 -3.32192809488736 9.81468345516425 11.2460029385094 -2.3399228499934 66685 15770
"T74_P1_G4_NK" -20 6 31 470 -139 -62 2963 900 6819 -3.32192809488736 -0.140296831721567 -3.32192809488736 9.07089572407617 7.59144329466506 -3.32192809488736 10.153873239738 1.98233061160681 7.97422985786428 78629 19368
"T74_P1_G9_NK" -22 787 209 639 49 26 1803 2168 1681 -3.32192809488736 7.43675168250939 2.55698054911711 6.86979117813785 -3.32192809488736 -3.32192809488736 8.64438415931859 11.7618697935466 6.67821349137093 72546 18041
"T74_P1_H10_ILC2" -32 111 583 5 -62 350 4701 1649 108 0.093295560334448 -0.422656318043213 8.10742554843025 1.45735552819048 -3.32192809488736 -3.32192809488736 10.0651271784776 10.1871361380058 -1.27210609626627 70481 18462
"T74_P2_B4_NK" 6 162 63 450 -75 31 2090 331 7496 -3.32192809488736 5.59358839018564 8.79651343813957 11.7203299392532 -3.32192809488736 -3.32192809488736 9.58284150912487 1.27770679602342 -3.32192809488736 58786 15347
"T74_P2_B9_NK" -4 20 2 589 -83 -31 1353 387 2936 2.24059991544229 -3.32192809488736 -3.32192809488736 12.1613058600825 -3.32192809488736 -3.32192809488736 10.2621041318202 9.79346826098257 3.57363420759626 66548 17310
"T74_P2_C10_ILC3" 1397 227 348 1 -130 -15 3825 287 782 9.9084237743619 7.16804561211339 9.50017392909888 0.976920880995895 -3.32192809488736 -3.32192809488736 9.83976666495917 7.21601710381199 -3.32192809488736 60316 18479
"T74_P2_C11_ILC3" 345 440 524 4 32 0 2184 453 250 0.419015794305174 -1.70531953109246 10.1202690798669 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.31583078135337 8.75251248196056 -1.73257290800852 54360 17353
"T74_P2_C12_ILC3" -6 1410 414 -7 -17 49 2030 1260 100 -3.32192809488736 -3.32192809488736 10.3992430240706 1.02550752994681 -3.32192809488736 -3.32192809488736 1.01705669674723 11.9763594998512 -3.32192809488736 63839 12967
"T74_P2_C2_ILC3" 152 663 519 -35 20 33 2330 1834 1156 -3.32192809488736 6.98478683605474 11.0356283638524 1.11111827241266 -3.32192809488736 -3.32192809488736 0.276413106099512 11.1659175268377 6.5462375715144 63649 21314
"T74_P2_C3_ILC3" 2127 321 501 7 -81 4 2793 973 855 10.1151854022692 8.90185708604069 9.70979353973636 9.86684693886065 -3.32192809488736 -3.32192809488736 10.1340089082415 9.96377921007457 -3.32192809488736 76649 19350
"T74_P2_C4_ILC3" 1195 237 869 44 44 85 2835 -12 139 -3.32192809488736 7.58234956446844 8.95866135602928 9.60985596372729 -3.32192809488736 -3.32192809488736 10.4751604700558 1.70066208524798 -2.04010312597967 76698 17793
"T74_P2_C5_ILC3" 1340 414 838 -3 -74 84 4702 1283 205 9.50946614629579 7.80809735726399 9.16670958546689 8.78677340096114 -3.32192809488736 -3.32192809488736 9.19415607030767 9.43382480841023 -3.32192809488736 71183 17264
"T74_P2_C6_ILC3" 1425 285 714 34 -73 53 4824 296 160 -0.12127403683243 7.97864718078815 1.01942670045832 4.95700326282297 -3.32192809488736 -3.32192809488736 9.40014450542421 1.34279566337405 -1.47964775372192 66643 16687
"T74_P2_C8_ILC3" -48 349 582 32 -33 86 1648 761 334 -3.32192809488736 -3.32192809488736 4.84986668746944 -3.32192809488736 -3.32192809488736 -3.32192809488736 3.86275993744767 11.7667294516771 -3.32192809488736 55610 11718
"T74_P2_C9_ILC3" -33 133 900 -2 29 59 1339 196 25 0.0611151406255979 6.23393033191322 8.60664587551061 -3.32192809488736 -3.32192809488736 -3.32192809488736 0.578606433873976 1.79318737375051 -3.32192809488736 52733 8853
"T74_P2_D11_NK" -77 13 12 747 57 94 3996 797 4122 -3.32192809488736 6.18026455218351 1.21272149307757 8.31237938777832 -3.32192809488736 -3.32192809488736 7.18207605913361 9.55730240160568 -0.797274359091279 74099 14460
"T74_P2_D2_NK" 30 22 -5 606 -131 100 1903 236 3038 -3.32192809488736 -0.318982353179929 -3.32192809488736 9.04530773849376 -3.32192809488736 -3.32192809488736 7.63877496364002 11.1007145938726 6.54412223501277 62682 13672
"T74_P2_E12_ILC3" -26 454 530 8 12 188 2867 1868 26 -3.32192809488736 -1.42623001352648 9.25076277417661 1.14130213589752 -3.32192809488736 -3.32192809488736 9.51036097070727 10.2210010211886 -3.32192809488736 67661 18418
"T74_P2_E7_NK" -27 8 14 912 -28 85 1318 715 1981 -3.32192809488736 -3.32192809488736 1.45325086127834 8.62831910175395 -3.32192809488736 -3.32192809488736 10.8607508704018 10.2950018577637 7.8734485558493 62995 21277
"T74_P2_F1_ILC3" 1413 505 548 6 110 72 1648 1094 250 0.554945461508474 6.29033135875006 8.19978732155766 9.03707244354431 -3.32192809488736 -3.32192809488736 9.54099123799455 10.7926395857993 -3.32192809488736 74512 22525
"T74_P2_G4_NK" 1291 140 228 735 -3 85 3392 383 1278 2.18315275471629 -1.52563520939901 7.99908699416475 11.1530108149968 -3.32192809488736 -3.32192809488736 10.2215743553871 9.19701787960374 -3.32192809488736 73576 19132
"T74_P2_G9_NK" 5 -17 71 505 -67 29 2095 426 2385 -3.32192809488736 0.0434209160511435 1.69786237537374 0.62322487006595 -3.32192809488736 -3.32192809488736 8.28842634392784 7.91089159444848 -3.32192809488736 73423 18341
"T74_P3_A11_ILC2" 59 427 535 22 -10 382 2832 190 88 -3.32192809488736 7.99117269680497 0.913612021969861 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.43150194534492 9.26349034277144 -1.97722575130225 61208 13968
"T74_P3_B4_NK" 78 -18 91 1009 -146 49 3084 285 4921 -3.32192809488736 -1.03719377721637 10.0026674351769 9.96561009784316 -3.32192809488736 -3.32192809488736 10.4323792045915 0.869018480060108 -1.79455679148218 79611 22243
"T74_P3_B9_NK" 10 55 28 282 -208 143 2110 321 3362 -3.32192809488736 -3.32192809488736 2.30472368613027 9.59877474650381 -3.32192809488736 -3.32192809488736 9.04656870013012 -3.32192809488736 8.16534580314308 58574 22540
"T74_P3_C2_ILC2" -2 233 352 4 -11 590 3213 1506 85 -3.32192809488736 7.38631417769723 9.01627454508905 1.48307990156201 -3.32192809488736 -3.32192809488736 10.611084108104 9.12752545944651 -3.32192809488736 65254 16613
"T74_P3_C6_ILC2" -17 458 561 31 -42 369 2777 1703 1483 -3.32192809488736 8.53946630883381 10.5274251225003 8.77242766806606 -3.32192809488736 -3.32192809488736 9.62812334938899 10.0642534208567 -1.94857566822034 80743 22986
"T74_P3_D11_NK" 81 630 53 237 91 34 2460 782 6012 -3.32192809488736 3.81072268845026 8.13260734820199 10.068269877225 -3.32192809488736 -3.32192809488736 10.6384374041199 8.38395604162077 5.76449880542698 69006 26884
"T74_P3_D6_ILC3" 859 750 540 29 -40 10 2536 1060 38 6.88659759996869 9.03277925136541 10.967100015205 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.54574005296251 10.2134885113354 -3.32192809488736 72021 17546
"T74_P3_D7_ILC3" 1893 567 350 28 -20 75 3458 902 61 7.82356402059218 8.29921932572412 10.9136070595374 7.5106700686595 -3.32192809488736 -3.32192809488736 10.0503720709265 11.2763960604759 -3.32192809488736 67632 28135
"T74_P3_E4_ILC2" 23 161 822 10 39 876 2200 3771 28 -3.32192809488736 6.34265343106855 10.4386332196103 1.67315788509022 -3.32192809488736 -3.32192809488736 10.4959904867045 12.4350427935063 -3.32192809488736 71989 14309
"T74_P3_E7_NK" 45 67 60 257 -24 -18 1808 2 5572 0.929358524984334 6.68160533570167 -3.32192809488736 4.41998029175267 2.00993841760021 -3.32192809488736 11.5952473067061 1.16748471213642 1.7440790305892 67349 14111
"T74_P3_E9_ILC2" 7 456 411 21 18 291 4162 2378 78 -0.00278887975691122 7.99366286591357 10.3778487596444 1.23521511271787 -3.32192809488736 -3.32192809488736 8.79660134946495 11.0573739291016 -3.32192809488736 65365 12605
"T74_P3_F1_ILC3" 124 1170 988 -6 177 151 1381 915 990 -3.32192809488736 9.00553431335867 10.3885333089199 -3.32192809488736 -3.32192809488736 -3.32192809488736 1.29050463876443 -3.32192809488736 -3.32192809488736 65423 16182
"T74_P3_F2_ILC3" 30 674 593 4 -14 -24 2070 705 -2 -3.32192809488736 0.815304865934 9.38903993006638 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.4478709589765 9.94540077545252 -3.32192809488736 58041 9897
"T74_P3_F3_ILC3" -42 1552 482 42 18 69 2530 542 18 -3.32192809488736 -3.32192809488736 8.63088375422163 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.50938305048099 10.9039559670787 -3.32192809488736 59637 12370
"T74_P3_F4_ILC3" -46 514 705 2 -82 31 2281 708 2386 -3.32192809488736 9.41578584178773 10.7523789494825 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.95179033706484 -3.32192809488736 -3.32192809488736 54686 19896
"T74_P3_G4_NK" 18 61 25 328 233 111 1129 594 2175 -3.32192809488736 0.605866907224649 2.03690039664572 10.7815258702428 -3.32192809488736 -3.32192809488736 9.53202587551526 10.6907069635499 9.16190936776153 69793 20193
"T74_P3_G9_NK" 75 51 -25 572 -295 -61 1782 1014 4015 0.723375352391245 -1.87438857119388 -0.552649966856443 11.7288790763843 -3.32192809488736 -3.32192809488736 10.0022676671464 11.4691201351822 -3.32192809488736 81886 22082
"T74_P3_H1_ILC2" 17 143 762 1 -18 479 2601 3525 31 1.98213344640606 -0.852772529672667 9.98360964786762 1.24778476473106 -3.32192809488736 -3.32192809488736 8.77387169567955 9.1016142065769 -3.32192809488736 61198 11184
"T74_P4_A8_ILC3" 8 452 345 -22 22 196 901 899 618 -3.32192809488736 3.09142731015224 10.8759955549816 8.68764599354646 -3.32192809488736 -3.32192809488736 1.02754518840902 9.7337437513857 -3.32192809488736 52492 14823
"T74_P4_A9_ILC3" 215 3154 626 29 -5 200 1008 2727 1329 -3.32192809488736 9.90431551397606 10.6735801428913 2.15729465931832 -3.32192809488736 -3.32192809488736 9.16928115016655 11.7195209544659 -3.32192809488736 63279 28752
"T74_P4_B4_NK" 20 -14 36 754 -87 20 2124 356 1789 -3.32192809488736 -3.32192809488736 2.42976358721588 10.5566145446892 -3.32192809488736 -3.32192809488736 9.44597137252222 1.69051973438792 -3.32192809488736 56923 12211
"T74_P4_C3_ILC2" -30 19 547 8 -28 429 3170 2934 -24 -3.32192809488736 0.125902467333895 7.67049699158569 -3.32192809488736 -3.32192809488736 2.7282096571721 10.5255262343229 12.476674386395 -3.32192809488736 60690 13326
"T74_P4_D2_NK" 60 -11 21 500 -112 -22 3701 1086 2184 -3.32192809488736 -1.14208995304992 2.35251959678559 9.68911041444702 -3.32192809488736 -3.32192809488736 7.1834591720823 11.2721970449579 2.71840723940862 66983 12525
"T74_P4_E6_NK" 1086 103 233 1308 -15 149 2594 860 3585 -3.32192809488736 6.40902463701211 7.78703644167296 10.2754659573405 -3.32192809488736 -3.32192809488736 9.96610287332797 10.1461370706167 -0.614876754848784 82196 20379
"T74_P4_E7_NK" 19 47 4 269 209 -29 3167 -142 1763 -3.32192809488736 -3.32192809488736 1.84651220296054 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.84777163282744 11.4695243524649 2.69820212248253 56442 13974
"T74_P4_F5_ILC2" -49 85 322 5 -33 599 1854 2161 51 -3.32192809488736 -0.172830887926732 10.1415922592541 -3.32192809488736 -3.32192809488736 -3.32192809488736 6.91029551831689 11.389779710482 0.666170193160732 57531 7061
"T74_P4_G4_NK" -20 120 124 685 -324 -30 2883 1096 9185 -0.422817854612304 -1.23874356982389 8.57345205417803 10.4752552527952 -3.32192809488736 -3.32192809488736 6.79364117753266 2.23569444197841 8.64445153958086 75794 24397
"T74_P4_G9_NK" -4 117 -12 701 253 -24 3495 586 4621 -3.32192809488736 -3.32192809488736 1.79709245439348 9.49453687387818 6.63841297343017 -3.32192809488736 9.03489910646645 -0.301867656962908 -0.29256905967913 77036 18016
"T74_P4_H1_ILC3" -10 618 455 55 40 18 1353 1535 589 -3.32192809488736 -1.28526668010271 10.9066179379849 5.92636172180568 -3.32192809488736 -3.32192809488736 4.39888186931413 10.8189088083993 9.69300734021123 61219 10444
