"Gene" "Idx"
"1850" "LY86" "48970"
"1851" "POLR1C" "30942"
"1852" "CXCL14" "54335"
"1853" "CCL4L1" "62178"
"1854" "GTPBP1" "36279"
"1855" "TBKBP1" "2331"
"1856" "TRIM14" "45760"
"1857" "TNFSF15" "15255"
"1858" "TANK" "24485"
"1859" "COL4A3BP" "53906"
"1860" "TRIM28" "23064"
"1861" "CHST4" "97"
"1862" "TENM1" "32645"
"1863" "TRIM13" "45758"
"1864" "CALCOCO2" "4444"
"1865" "IGSF6" "7910"
"1866" "CRISP3" "43950"
"1867" "SIRPB1" "43851"
"1868" "CLEC4M" "13732"
"1869" "CCL26" "18928"
"1870" "SPON2" "32947"
"1871" "CLEC10A" "63868"
"1872" "SYNCRIP" "3146"
"1873" "SEMA4D" "62608"
"1874" "SEMA3C" "56082"
"1875" "PROCR" "13107"
"1876" "TXNIP" "18249"
"1877" "CCR9" "56782"
"1878" "CCL27" "18927"
"1879" "SUGT1" "63120"
"1880" "MID2" "40488"
"1881" "TRIM31" "61504"
"1882" "ADAMTS13" "30558"
"1883" "LZTS1" "55998"
"1884" "PTGDR2" "53613"
"1885" "TREX1" "43734"
"1886" "NLRP1" "29456"
"1887" "TRIM32" "61503"
"1888" "TRIM35" "61513"
"1889" "DTX4" "54971"
"1890" "RPL13A" "41404"
"1891" "ATP6V0A2" "41935"
"1892" "CLEC5A" "36723"
"1893" "PANX1" "52739"
"1894" "CLEC4E" "13739"
"1895" "CHIA" "27844"
"1896" "IL37" "28376"
"1897" "IL36A" "51653"
"1898" "IL17B" "29223"
"1899" "TINAG" "59067"
"1900" "ADAMDEC1" "15904"
"1901" "MYLPF" "48125"
"1902" "IL19" "12041"
"1903" "CLEC4A" "13742"
"1904" "POLR1D" "30943"
"1905" "ECSIT" "47733"
"1906" "BPIFA1" "22654"
"1907" "YTHDF2" "57367"
"1908" "IP6K2" "5474"
"1909" "NUB1" "56997"
"1910" "MSRB1" "38517"
"1911" "TREM2" "47761"
"1912" "TREM1" "47760"
"1913" "TOLLIP" "51992"
"1914" "XAF1" "46893"
"1915" "DPP8" "62338"
"1916" "RNF125" "11277"
"1917" "AKIRIN2" "18477"
"1918" "TRIM62" "52788"
"1919" "OTUD5" "62724"
"1920" "SUSD2" "39539"
"1921" "CCL28" "18914"
"1922" "CYSLTR2" "2198"
"1923" "HAMP" "18135"
"1924" "CXCL16" "54337"
"1925" "TINAGL1" "45206"
"1926" "SLC26A6" "20807"
"1927" "CHID1" "14412"
"1928" "ATG9A" "45392"
"1929" "SIKE1" "42322"
"1930" "TRIM8" "4122"
"1931" "POLR3GL" "37926"
"1932" "RNASE7" "31578"
"1933" "PKHD1L1" "16185"
"1934" "CLEC6A" "59780"
"1935" "GBP5" "64055"
"1936" "CLNK" "32953"
"1937" "DEFB118" "22807"
"1938" "CD300LB" "42129"
"1939" "DEFB127" "29555"
"1940" "IL34" "28377"
"1941" "NLRP4" "29453"
"1942" "SBSPON" "10312"
"1943" "GBP6" "64054"
"1944" "SLC30A8" "41273"
"1945" "CLEC4C" "13741"
"1946" "DHX36" "32112"
"1947" "ADCY4" "2392"
"1948" "PYDC1" "52827"
"1949" "SSC5D" "11739"
"1950" "CLEC4D" "13740"
"1951" "TREML1" "35248"
"1952" "CD300E" "51203"
"1953" "IRGM" "13352"
"1954" "KAAG1" "41301"
"1955" "LILRA5" "48651"
"1956" "BPIFB3" "15075"
"1957" "SIGLEC16" "5953"
"1958" "CCL3L3" "27048"
"1959" "SIGLEC14" "5954"
"1960" "RAB3B" "60745"
"1961" "RAB4A" "51887"
"1962" "RAB5B" "12648"
"1963" "RAB6A" "2922"
"1964" "RAB33A" "7759"
"1965" "RAB10" "4167"
"1966" "RAB32" "60724"
"1967" "RAB35" "60721"
"1968" "RAB8B" "24281"
"1969" "RAB34" "60722"
"1970" "RAB3C" "60744"
"1971" "IL21R" "15246"
"1972" "CSF3R" "23503"
"1973" "ITGA1" "54"
"1974" "ITGA9" "51"
"1975" "SPP1" "38093"
"1976" "PIP5K1C" "63035"
"1977" "CKLF" "18233"
"1978" "EDNRB" "19846"
"1979" "HRH1" "49442"
"1980" "SCG2" "47407"
"1981" "EMR2" "59200"
"1982" "NUP85" "19715"
"1983" "EPS8" "38989"
"1984" "NLRP12" "29509"
"1985" "CCND3" "59908"
"1986" "CD151" "38642"
"1987" "FKBP1B" "1604"
"1988" "CRIP3" "36712"
"1989" "PRLR" "38463"
"1990" "KIF13B" "63738"
"1991" "TREML2" "35247"
"1992" "CHRFAM7A" "20950"
"1993" "NLRC3" "17634"
"1994" "CHRNA4" "10357"
"1995" "IGBP1" "3464"
"1996" "PFDN1" "36477"
"1997" "AKAP17A" "50284"
"1998" "SKAP2" "20295"
"1999" "BANK1" "20711"
"2000" "TXLNA" "51862"
"2001" "GAPT" "60333"
"2002" "GCNT1" "628"
"2003" "PECAM1" "40308"
"2004" "ROCK1" "6176"
"2005" "SELPLG" "48607"
"2006" "PODXL2" "19303"
"2007" "GOLPH3" "56933"
"2008" "HELLS" "50283"
"2009" "HPRT1" "52974"
"2010" "IMPDH1" "23714"
"2011" "SLAMF1" "55653"
"2012" "ZNF3" "18313"
"2013" "TMX1" "25322"
"2014" "ANGPT2" "50684"
"2015" "APOB" "19855"
"2016" "ATP1B1" "41013"
"2017" "ATP1B2" "41010"
"2018" "ATP1B3" "41011"
"2019" "BSG" "38950"
"2020" "CD58" "14142"
"2021" "COL1A1" "11116"
"2022" "COL1A2" "11114"
"2023" "S1PR1" "54644"
"2024" "F2" "60024"
"2025" "FN1" "34894"
"2026" "B4GALT1" "22136"
"2027" "GLG1" "13024"
"2028" "GRB7" "54052"
"2029" "GRB14" "17062"
"2030" "ITGA6" "60"
"2031" "ITGA3" "57"
"2032" "ITGA5" "59"
"2033" "ITGB3" "7929"
"2034" "L1CAM" "42790"
"2035" "MAG" "53352"
"2036" "MMP1" "24875"
"2037" "OLR1" "18561"
"2038" "PLG" "64142"
"2039" "PODXL" "55710"
"2040" "PPIA" "6675"
"2041" "PROC" "61095"
"2042" "SLC3A2" "38499"
"2043" "SLC16A1" "42218"
"2044" "THBD" "11530"
"2045" "SLC7A5" "24201"
"2046" "EPX" "2365"
"2047" "CD84" "25947"
"2048" "DOK2" "60728"
"2049" "SLC7A7" "2739"
"2050" "SLC7A6" "2735"
"2051" "SLC16A3" "42219"
"2052" "AIMP1" "59548"
"2053" "SLC7A9" "2732"
"2054" "SLC7A8" "24196"
"2055" "SLC16A8" "42215"
"2056" "SLC7A11" "64429"
"2057" "PPIL2" "54756"
"2058" "F11R" "61831"
"2059" "GP6" "17479"
"2060" "ANGPT4" "50688"
"2061" "CD244" "13690"
"2062" "SLC7A10" "64428"
"2063" "CD177" "22757"
"2064" "JAM2" "29414"
"2065" "ESAM" "20573"
"2066" "SIRPA" "10468"
"2067" "HIST1H2BA" "39638"
