"Gene" "Idx"
"659" "IL13" "12046"
"660" "IL13RA1" "20343"
"661" "ILF3" "1779"
"662" "CXCL10" "54332"
"663" "INS" "38900"
"664" "IRF5" "52712"
"665" "ISG20" "45474"
"666" "ITGAL" "105"
"667" "ITGAX" "100"
"668" "ITPR1" "57832"
"669" "ITPR2" "57830"
"670" "ITPR3" "57831"
"671" "KCNJ8" "42411"
"672" "LCK" "17580"
"673" "LCP1" "25545"
"674" "LGALS1" "34299"
"675" "LGALS8" "34296"
"676" "LIMK1" "26009"
"677" "CD180" "31460"
"678" "MIF" "55487"
"679" "CXCL9" "39328"
"680" "MPO" "4842"
"681" "MYO1F" "34265"
"682" "MX1" "36677"
"683" "MX2" "36676"
"684" "MYB" "59636"
"685" "MYH2" "62995"
"686" "MYO1C" "34268"
"687" "MYO10" "34327"
"688" "NCK1" "32972"
"689" "OAS1" "52170"
"690" "OAS2" "52172"
"691" "OAS3" "52171"
"692" "OPRK1" "17659"
"693" "PAK1" "58796"
"694" "PAK2" "56151"
"695" "PCBP2" "55990"
"696" "CFP" "216"
"697" "SERPINB9" "18558"
"698" "PIK3CA" "53316"
"699" "PIK3CB" "53317"
"700" "PIK3R1" "26139"
"701" "PIK3R2" "26138"
"702" "PLA2G1B" "28454"
"703" "PLCG1" "46558"
"704" "PLCG2" "46557"
"705" "PLD2" "6235"
"706" "PLSCR1" "18681"
"707" "PPM1B" "57612"
"708" "PRF1" "19617"
"709" "DNAJC3" "50486"
"710" "PROS1" "5984"
"711" "PTGER4" "38822"
"712" "PTK2" "35028"
"713" "PTX3" "46510"
"714" "RAC1" "34083"
"715" "RARA" "15417"
"716" "RBP4" "30684"
"717" "RNASEL" "31570"
"718" "RPS19" "52312"
"719" "S100A13" "16780"
"720" "CCL2" "43073"
"721" "CCL3" "43074"
"722" "SRC" "37823"
"723" "STAT1" "64108"
"724" "STAT2" "64107"
"725" "STXBP3" "54635"
"726" "VAMP7" "40279"
"727" "TARBP2" "23461"
"728" "TGFB2" "40226"
"729" "TGFB3" "40227"
"730" "TP53" "31416"
"731" "TNFRSF4" "38877"
"732" "TYROBP" "63529"
"733" "VAV1" "5535"
"734" "VAV2" "5537"
"735" "VTN" "47785"
"736" "WAS" "31461"
"737" "WIPF1" "57514"
"738" "LAT2" "26051"
"739" "WNT5A" "28990"
"740" "YES1" "48129"
"741" "YWHAZ" "6137"
"742" "TRIM25" "23067"
"743" "ZNF175" "51378"
"744" "EOMES" "1483"
"745" "PLA2G6" "1565"
"746" "SEMA7A" "24172"
"747" "IFITM1" "47091"
"748" "OASL" "52180"
"749" "BECN1" "13826"
"750" "TNFRSF14" "54663"
"751" "AP1S2" "24593"
"752" "AP1M1" "42784"
"753" "WASL" "53021"
"754" "TNFSF18" "40815"
"755" "ATG5" "61412"
"756" "APOBEC3B" "61856"
"757" "ISG15" "52428"
"758" "ELMO1" "44948"
"759" "GAB2" "18403"
"760" "AP1M2" "42783"
"761" "ABCC9" "49127"
"762" "ARPC5" "57827"
"763" "ARPC4" "23573"
"764" "ARPC3" "57821"
"765" "ACTR3" "35493"
"766" "ACTR2" "35494"
"767" "ARPC2" "23552"
"768" "RASGRP1" "61105"
"769" "TRIM22" "23071"
"770" "IRF9" "52715"
"771" "IFITM3" "47082"
"772" "VAV3" "5536"
"773" "BAIAP2" "19679"
"774" "TRIM38" "61495"
"775" "ARPC1A" "46221"
"776" "IFITM2" "51657"
"777" "POLR3F" "14650"
"778" "POLR3G" "14651"
"779" "POLR3C" "14655"
"780" "NCKAP1" "27065"
"781" "CPLX2" "34091"
"782" "IFI44L" "43887"
"783" "POLR3A" "14656"
"784" "CD300A" "42042"
"785" "VSIG4" "60143"
"786" "SBNO2" "43713"
"787" "DICER1" "41661"
"788" "IFIT5" "52418"
"789" "SAMHD1" "19565"
"790" "CYFIP2" "2543"
"791" "LAT" "63556"
"792" "CRCP" "3575"
"793" "APOBEC3C" "61855"
"794" "RGCC" "11656"
"795" "CD207" "46020"
"796" "HERC5" "8278"
"797" "MZB1" "502"
"798" "DDX41" "45811"
"799" "NCKIPSD" "63776"
"800" "ATP6V1H" "48493"
"801" "GPRC5B" "30724"
"802" "POLR3K" "14658"
"803" "RNF216" "47967"
"804" "EXOSC4" "23763"
"805" "DDIT4" "716"
"806" "ABCF3" "42310"
"807" "PI4K2A" "55060"
"808" "PACS1" "43711"
"809" "POLR3B" "14654"
"810" "POLR3E" "14653"
"811" "BRK1" "50903"
"812" "EXOSC5" "23764"
"813" "GPAM" "23052"
"814" "SELK" "64423"
"815" "FAM111A" "10327"
"816" "ELMO2" "44949"
"817" "MUL1" "54734"
"818" "CFHR5" "49764"
"819" "TRIM11" "45756"
"820" "TRIM56" "13405"
"821" "PRAM1" "23629"
"822" "NLRC5" "17631"
"823" "SLFN11" "52028"
"824" "NLRP3" "29458"
"825" "AP1S3" "24594"
"826" "APOBEC3D" "61850"
"827" "WIPF2" "57513"
"828" "PM20D1" "27118"
"829" "IFNLR1" "54541"
"830" "APOBEC3H" "61849"
"831" "POLR3H" "14659"
"832" "PPAPDC1A" "49993"
"833" "APOBEC3A" "61853"
"834" "ELMOD2" "31244"
"835" "IFNL3" "56249"
"836" "MILR1" "38470"
"837" "DEFB103A" "48791"
"838" "IFIT1B" "61560"
"839" "WIPF3" "57512"
"840" "IFNL4" "56250"
"841" "BLK" "61322"
"842" "C3AR1" "63918"
"843" "C5AR1" "16322"
"844" "CACNB3" "38689"
"845" "CACNB4" "38693"
"846" "CD3D" "30498"
"847" "CD19" "46490"
"848" "CD38" "30448"
"849" "CD79A" "53893"
"850" "CD79B" "53890"
"851" "CSK" "60168"
"852" "CTLA4" "2442"
"853" "ELF1" "49307"
"854" "FYB" "53704"
"855" "GPLD1" "39852"
"856" "HLA-DPA1" "34046"
"857" "HLA-DPB1" "41297"
